datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-07:00,1,0.0,2.8,84.3,0.42
2020-01-01 01:30:00-07:00,2,0.0,2.2,84.3,0.42
2020-01-01 02:30:00-07:00,3,0.0,1.7,84.4,0.44
2020-01-01 03:30:00-07:00,4,0.0,0.0,84.4,0.52
2020-01-01 04:30:00-07:00,5,0.0,-1.1,84.4,0.56
2020-01-01 05:30:00-07:00,6,0.0,0.0,84.5,0.54
2020-01-01 06:30:00-07:00,7,0.0,-1.1,84.5,0.58
2020-01-01 07:30:00-07:00,8,0.0,-1.7,84.6,0.61
2020-01-01 08:30:00-07:00,9,0.0,2.2,84.6,0.5
2020-01-01 09:30:00-07:00,10,0.0,5.0,84.7,0.41
2020-01-01 10:30:00-07:00,11,0.0,8.3,84.7,0.34
2020-01-01 11:30:00-07:00,12,0.0,10.6,84.6,0.31
2020-01-01 12:30:00-07:00,13,0.0,13.3,84.5,0.27
2020-01-01 13:30:00-07:00,14,0.0,15.6,84.4,0.21
2020-01-01 14:30:00-07:00,15,0.0,16.1,84.4,0.2
2020-01-01 15:30:00-07:00,16,0.0,15.6,84.4,0.22
2020-01-01 16:30:00-07:00,17,0.0,11.7,84.4,0.27
2020-01-01 17:30:00-07:00,18,0.0,7.8,84.5,0.36
2020-01-01 18:30:00-07:00,19,0.0,6.7,84.5,0.38
2020-01-01 19:30:00-07:00,20,0.0,7.8,84.6,0.39
2020-01-01 20:30:00-07:00,21,0.0,7.2,84.6,0.4
2020-01-01 21:30:00-07:00,22,0.0,7.2,84.6,0.4
2020-01-01 22:30:00-07:00,23,0.0,5.0,84.6,0.45
2020-01-01 23:30:00-07:00,24,0.0,2.2,84.6,0.55
2020-01-02 00:30:00-07:00,25,0.0,1.1,84.6,0.59
2020-01-02 01:30:00-07:00,26,0.0,0.6,84.5,0.61
2020-01-02 02:30:00-07:00,27,0.0,-1.1,84.5,0.66
2020-01-02 03:30:00-07:00,28,0.0,-1.7,84.5,0.69
2020-01-02 04:30:00-07:00,29,0.0,-2.2,84.5,0.72
2020-01-02 05:30:00-07:00,30,0.0,-4.4,84.4,0.85
2020-01-02 06:30:00-07:00,31,0.0,-3.3,84.4,0.78
2020-01-02 07:30:00-07:00,32,0.0,-2.2,84.5,0.75
2020-01-02 08:30:00-07:00,33,0.0006627196218734,1.1,84.5,0.62
2020-01-02 09:30:00-07:00,34,0.004543321928098,4.4,84.5,0.51
